# Channel,Subsystem,Area,Mirror,Distance,Direction,Sensor,Fs
L1:SUS-RM2_M1_ISIWIT_R_DQ,SUS,HAM2,RM2,,,OSEM,1024
L1:SUS-RM2_M1_ISIWIT_T_DQ,SUS,HAM2,RM2,,,OSEM,1024
L1:SUS-RM2_M1_ISIWIT_V_DQ,SUS,HAM2,RM2,,,OSEM,1024
L1:SUS-RM2_M1_ISIWIT_Y_DQ,SUS,HAM2,RM2,,YAW,OSEM,1024
L1:SUS-RM2_M1_LOCK_L_IN1_DQ,SUS,HAM2,RM2,,LON,FEEDBACK,256
L1:SUS-RM2_M1_LOCK_P_IN1_DQ,SUS,HAM2,RM2,,PIT,FEEDBACK,256
L1:SUS-RM2_M1_LOCK_Y_IN1_DQ,SUS,HAM2,RM2,,YAW,FEEDBACK,256
L1:SUS-RM2_M1_MASTER_OUT_LL_DQ,SUS,HAM2,RM2,,,,256
L1:SUS-RM2_M1_MASTER_OUT_LR_DQ,SUS,HAM2,RM2,,,,256
L1:SUS-RM2_M1_MASTER_OUT_UL_DQ,SUS,HAM2,RM2,,,,256
L1:SUS-RM2_M1_MASTER_OUT_UR_DQ,SUS,HAM2,RM2,,,,256
L1:PEM-CS_ACC_BSC1_ITMY_X_DQ,PEM,BSC10,ITMY,,X,ACC,2048
L1:PEM-CS_ACC_BSC1_ITMY_Y_DQ,PEM,BSC10,ITMY,,Y,ACC,2048
L1:PEM-CS_ACC_BSC2_BS_Y_DQ,PEM,BSC2,BS,,Y,ACC,2048
L1:PEM-CS_ACC_BSC3_ITMX_X_DQ,PEM,BSC9,ITMX,,X,ACC,2048
L1:PEM-CS_ACC_BSC3_ITMX_Y_DQ,PEM,BSC9,ITMX,,Y,ACC,2048
L1:PEM-CS_ACC_HAM2_PRM_Y_DQ,PEM,HAM2,PRM,,Y,ACC,2048
L1:PEM-CS_ACC_HAM2_PRM_Z_DQ,PEM,HAM2,PRM,,Z,ACC,2048
L1:PEM-CS_ACC_HAM3_PR2_Y_DQ,PEM,HAM3,,,Y,ACC,2048
L1:PEM-CS_ACC_HAM4_SR2_X_DQ,PEM,HAM4,,,X,ACC,2048
L1:PEM-CS_ACC_HAM5_SRM_X_DQ,PEM,HAM5,SRM,,X,ACC,2048
L1:PEM-CS_ACC_HAM6_OMC_X_DQ,PEM,HAM6,,,X,ACC,2048
L1:PEM-CS_ACC_HAM6_OMC_Z_DQ,PEM,HAM6,,,Z,ACC,2048
L1:PEM-CS_ACC_IOT1_IMC_X_DQ,PEM,HAM2,,,X,ACC,2048
L1:PEM-CS_ACC_IOT1_IMC_Y_DQ,PEM,HAM2,,,Y,ACC,2048
L1:PEM-CS_ACC_IOT1_IMC_Z_DQ,PEM,HAM2,,,Z,ACC,2048
L1:PEM-CS_ACC_ISCT1_REFL_Y_DQ,PEM,ISCT1,,,Y,ACC,2048
L1:PEM-CS_ACC_ISCT6_OMC_X_DQ,PEM,HAM6,,,X,ACC,2048
L1:PEM-CS_ACC_LVEA_BSFLOOR_Z_DQ,PEM,BSC2,BS,,Z,ACC,2048
L1:PEM-CS_ACC_OPLEV_ITMX_Y_DQ,PEM,BSC9,ITMX,,Y,ACC,2048
L1:PEM-CS_ACC_OPLEV_ITMY_X_DQ,PEM,BSC10,ITMY,,X,ACC,2048
L1:PEM-CS_ACC_PSL_PERISCOPE_X_DQ,PEM,HAM1,,,X,ACC,2048
L1:PEM-CS_ACC_PSL_TABLE1_X_DQ,PEM,HAM1,,,X,ACC,2048
L1:PEM-CS_ACC_PSL_TABLE1_Y_DQ,PEM,HAM1,,,Y,ACC,2048
L1:PEM-CS_ACC_PSL_TABLE1_Z_DQ,PEM,HAM1,,,Z,ACC,2048
L1:PEM-CS_LOWFMIC_LVEA_VERTEX_DQ,PEM,LVEA,,,,MIC,256
L1:PEM-CS_MAG_EBAY_SUSRACK_QUAD_SUM_DQ,PEM,EBAY,,,,MAG,8192
L1:PEM-CS_MAG_EBAY_SUSRACK_X_DQ,PEM,EBAY,,,X,MAG,8192
L1:PEM-CS_MAG_EBAY_SUSRACK_Y_DQ,PEM,EBAY,,,Y,MAG,8192
L1:PEM-CS_MAG_EBAY_SUSRACK_Z_DQ,PEM,EBAY,,,Z,MAG,8192
L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_QUAD_SUM_DQ,PEM,LVEA,,,,MAG,8192
L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_X_DQ,PEM,LVEA,,,X,MAG,8192
L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_Y_DQ,PEM,LVEA,,,Y,MAG,8192
L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_Z_DQ,PEM,LVEA,,,Z,MAG,8192
L1:PEM-CS_MAG_LVEA_VERTEX_QUAD_SUM_DQ,PEM,LVEA,,,,MAG,8192
L1:PEM-CS_MAG_LVEA_VERTEX_X_DQ,PEM,LVEA,,,X,MAG,8192
L1:PEM-CS_MAG_LVEA_VERTEX_Y_DQ,PEM,LVEA,,,Y,MAG,8192
L1:PEM-CS_MAG_LVEA_VERTEX_Z_DQ,PEM,LVEA,,,Z,MAG,8192
L1:PEM-CS_MAINSMON_EBAY_1_DQ,PEM,EBAY,,,,MAINSMON,2048
L1:PEM-CS_MAINSMON_EBAY_2_DQ,PEM,EBAY,,,,MAINSMON,2048
L1:PEM-CS_MIC_EBAY_RACKS_DQ,PEM,EBAY,,,,MIC,16384
L1:PEM-CS_MIC_LVEA_BS_DQ,PEM,BSC2,BS,,,MIC,16384
L1:PEM-CS_MIC_LVEA_INPUTOPTICS_DQ,PEM,LVEA,,,,MIC,16384
L1:PEM-CS_MIC_LVEA_OUTPUTOPTICS_DQ,PEM,LVEA,,,,MIC,16384
L1:PEM-CS_MIC_LVEA_XMAN_SPOOL_DQ,PEM,LVEA,,,,MIC,16384
L1:PEM-CS_MIC_LVEA_YMAN_SPOOL_DQ,PEM,LVEA,,,,MIC,16384
L1:PEM-CS_MIC_PSL_CENTER_DQ,PEM,HAM1,,,,MIC,16384
L1:PEM-CS_RADIO_ROOF1_BROADBAND_DQ,PEM,ROOF1,,,,RADIO,16384
L1:PEM-CS_RADIO_ROOF2_BROADBAND_DQ,PEM,ROOF2,,,,RADIO,16384
L1:PEM-CS_SEIS_LVEA_VERTEX_X_DQ,PEM,LVEA,,,X,SEIS,256
L1:PEM-CS_SEIS_LVEA_VERTEX_Y_DQ,PEM,LVEA,,,Y,SEIS,256
L1:PEM-CS_SEIS_LVEA_VERTEX_Z_DQ,PEM,LVEA,,,Z,SEIS,256
L1:PEM-CS_TILT_LVEA_VERTEX_T_DQ,PEM,LVEA,,,,SEIS,256
L1:PEM-CS_TILT_LVEA_VERTEX_X_DQ,PEM,LVEA,,,X,SEIS,256
L1:PEM-CS_TILT_LVEA_VERTEX_Y_DQ,PEM,LVEA,,,Y,SEIS,256
L1:SUS-ITMX_L1_LOCK_L_IN1_DQ,SUS,BSC9,ITMX,,LON,FEEDBACK,1024
L1:SUS-ITMX_L1_LOCK_P_IN1_DQ,SUS,BSC9,ITMX,,PIT,FEEDBACK,1024
L1:SUS-ITMX_L1_LOCK_Y_IN1_DQ,SUS,BSC9,ITMX,,YAW,FEEDBACK,1024
L1:SUS-ITMX_L1_MASTER_OUT_LL_DQ,SUS,BSC9,ITMX,,,,1024
L1:SUS-ITMX_L1_MASTER_OUT_LR_DQ,SUS,BSC9,ITMX,,,,1024
L1:SUS-ITMX_L1_MASTER_OUT_UL_DQ,SUS,BSC9,ITMX,,,,1024
L1:SUS-ITMX_L1_MASTER_OUT_UR_DQ,SUS,BSC9,ITMX,,,,1024
L1:SUS-ITMX_L1_WIT_L_DQ,SUS,BSC9,ITMX,,LON,OSEM,1024
L1:SUS-ITMX_L1_WIT_P_DQ,SUS,BSC9,ITMX,,PIT,OSEM,1024
L1:SUS-ITMX_L1_WIT_Y_DQ,SUS,BSC9,ITMX,,YAW,OSEM,1024
L1:SUS-ITMX_L2_LOCK_L_IN1_DQ,SUS,BSC9,ITMX,,LON,FEEDBACK,2048
L1:SUS-ITMX_L2_LOCK_P_IN1_DQ,SUS,BSC9,ITMX,,PIT,FEEDBACK,2048
L1:SUS-ITMX_L2_LOCK_Y_IN1_DQ,SUS,BSC9,ITMX,,YAW,FEEDBACK,2048
L1:SUS-ITMX_L2_MASTER_OUT_LL_DQ,SUS,BSC9,ITMX,,,,2048
L1:SUS-ITMX_L2_MASTER_OUT_LR_DQ,SUS,BSC9,ITMX,,,,2048
L1:SUS-ITMX_L2_MASTER_OUT_UL_DQ,SUS,BSC9,ITMX,,,,2048
L1:SUS-ITMX_L2_MASTER_OUT_UR_DQ,SUS,BSC9,ITMX,,,,2048
L1:SUS-ITMX_L2_WIT_L_DQ,SUS,BSC9,ITMX,,LON,OSEM,256
L1:SUS-ITMX_L2_WIT_P_DQ,SUS,BSC9,ITMX,,PIT,OSEM,256
L1:SUS-ITMX_L2_WIT_Y_DQ,SUS,BSC9,ITMX,,YAW,OSEM,256
L1:SUS-ITMX_L3_LOCK_L_IN1_DQ,SUS,BSC9,ITMX,,LON,FEEDBACK,2048
L1:SUS-ITMX_L3_LOCK_P_IN1_DQ,SUS,BSC9,ITMX,,PIT,FEEDBACK,2048
L1:SUS-ITMX_L3_LOCK_Y_IN1_DQ,SUS,BSC9,ITMX,,YAW,FEEDBACK,2048
L1:SUS-ITMX_L3_MASTER_OUT_DC_DQ,SUS,BSC9,ITMX,,,,256
L1:SUS-ITMX_L3_MASTER_OUT_LL_DQ,SUS,BSC9,ITMX,,,,2048
L1:SUS-ITMX_L3_MASTER_OUT_LR_DQ,SUS,BSC9,ITMX,,,,2048
L1:SUS-ITMX_L3_MASTER_OUT_UL_DQ,SUS,BSC9,ITMX,,,,2048
L1:SUS-ITMX_L3_MASTER_OUT_UR_DQ,SUS,BSC9,ITMX,,,,2048
L1:SUS-ITMX_L3_OPLEV_PIT_OUT_DQ,SUS,BSC9,ITMX,,PIT,QPD,256
L1:SUS-ITMX_L3_OPLEV_YAW_OUT_DQ,SUS,BSC9,ITMX,,YAW,QPD,256
L1:SUS-ITMX_M0_DAMP_L_IN1_DQ,SUS,BSC9,ITMX,,LON,,256
L1:SUS-ITMX_M0_DAMP_P_IN1_DQ,SUS,BSC9,ITMX,,PIT,,256
L1:SUS-ITMX_M0_DAMP_R_IN1_DQ,SUS,BSC9,ITMX,,,,256
L1:SUS-ITMX_M0_DAMP_T_IN1_DQ,SUS,BSC9,ITMX,,,,256
L1:SUS-ITMX_M0_DAMP_V_IN1_DQ,SUS,BSC9,ITMX,,,,256
L1:SUS-ITMX_M0_DAMP_Y_IN1_DQ,SUS,BSC9,ITMX,,YAW,,256
L1:SUS-ITMX_M0_ISIINF_RX_OUT_DQ,SUS,BSC9,ITMX,,RX,,1024
L1:SUS-ITMX_M0_ISIINF_RY_OUT_DQ,SUS,BSC9,ITMX,,RY,,1024
L1:SUS-ITMX_M0_ISIINF_RZ_OUT_DQ,SUS,BSC9,ITMX,,RZ,,1024
L1:SUS-ITMX_M0_ISIINF_X_OUT_DQ,SUS,BSC9,ITMX,,X,,1024
L1:SUS-ITMX_M0_ISIINF_Y_OUT_DQ,SUS,BSC9,ITMX,,YAW,,1024
L1:SUS-ITMX_M0_ISIINF_Z_OUT_DQ,SUS,BSC9,ITMX,,Z,,1024
L1:SUS-ITMX_M0_ISIWIT_L_DQ,SUS,BSC9,ITMX,,LON,OSEM,1024
L1:SUS-ITMX_M0_ISIWIT_P_DQ,SUS,BSC9,ITMX,,PIT,OSEM,1024
L1:SUS-ITMX_M0_ISIWIT_R_DQ,SUS,BSC9,ITMX,,,OSEM,1024
L1:SUS-ITMX_M0_ISIWIT_T_DQ,SUS,BSC9,ITMX,,,OSEM,1024
L1:SUS-ITMX_M0_ISIWIT_V_DQ,SUS,BSC9,ITMX,,,OSEM,1024
L1:SUS-ITMX_M0_ISIWIT_Y_DQ,SUS,BSC9,ITMX,,YAW,OSEM,1024
L1:SUS-ITMX_M0_LOCK_L_IN1_DQ,SUS,BSC9,ITMX,,LON,FEEDBACK,512
L1:SUS-ITMX_M0_LOCK_P_IN1_DQ,SUS,BSC9,ITMX,,PIT,FEEDBACK,512
L1:SUS-ITMX_M0_LOCK_Y_IN1_DQ,SUS,BSC9,ITMX,,YAW,FEEDBACK,512
L1:SUS-ITMX_M0_MASTER_OUT_F1_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_M0_MASTER_OUT_F2_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_M0_MASTER_OUT_F3_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_M0_MASTER_OUT_LF_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_M0_MASTER_OUT_RT_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_M0_MASTER_OUT_SD_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_R0_DAMP_L_IN1_DQ,SUS,BSC9,ITMX,,LON,,256
L1:SUS-ITMX_R0_DAMP_P_IN1_DQ,SUS,BSC9,ITMX,,PIT,,256
L1:SUS-ITMX_R0_DAMP_R_IN1_DQ,SUS,BSC9,ITMX,,,,256
L1:SUS-ITMX_R0_DAMP_T_IN1_DQ,SUS,BSC9,ITMX,,,,256
L1:SUS-ITMX_R0_DAMP_V_IN1_DQ,SUS,BSC9,ITMX,,,,256
L1:SUS-ITMX_R0_DAMP_Y_IN1_DQ,SUS,BSC9,ITMX,,YAW,,256
L1:SUS-ITMX_R0_MASTER_OUT_F1_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_R0_MASTER_OUT_F2_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_R0_MASTER_OUT_F3_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_R0_MASTER_OUT_LF_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_R0_MASTER_OUT_RT_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMX_R0_MASTER_OUT_SD_DQ,SUS,BSC9,ITMX,,,,512
L1:SUS-ITMY_L1_LOCK_L_IN1_DQ,SUS,BSC10,ITMY,,LON,FEEDBACK,1024
L1:SUS-ITMY_L1_LOCK_P_IN1_DQ,SUS,BSC10,ITMY,,PIT,FEEDBACK,1024
L1:SUS-ITMY_L1_LOCK_Y_IN1_DQ,SUS,BSC10,ITMY,,YAW,FEEDBACK,1024
L1:SUS-ITMY_L1_MASTER_OUT_LL_DQ,SUS,BSC10,ITMY,,,,1024
L1:SUS-ITMY_L1_MASTER_OUT_LR_DQ,SUS,BSC10,ITMY,,,,1024
L1:SUS-ITMY_L1_MASTER_OUT_UL_DQ,SUS,BSC10,ITMY,,,,1024
L1:SUS-ITMY_L1_MASTER_OUT_UR_DQ,SUS,BSC10,ITMY,,,,1024
L1:SUS-ITMY_L1_WIT_L_DQ,SUS,BSC10,ITMY,,LON,OSEM,1024
L1:SUS-ITMY_L1_WIT_P_DQ,SUS,BSC10,ITMY,,PIT,OSEM,1024
L1:SUS-ITMY_L1_WIT_Y_DQ,SUS,BSC10,ITMY,,YAW,OSEM,1024
L1:SUS-ITMY_L2_LOCK_L_IN1_DQ,SUS,BSC10,ITMY,,LON,FEEDBACK,2048
L1:SUS-ITMY_L2_LOCK_P_IN1_DQ,SUS,BSC10,ITMY,,PIT,FEEDBACK,2048
L1:SUS-ITMY_L2_LOCK_Y_IN1_DQ,SUS,BSC10,ITMY,,YAW,FEEDBACK,2048
L1:SUS-ITMY_L2_MASTER_OUT_LL_DQ,SUS,BSC10,ITMY,,,,2048
L1:SUS-ITMY_L2_MASTER_OUT_LR_DQ,SUS,BSC10,ITMY,,,,2048
L1:SUS-ITMY_L2_MASTER_OUT_UL_DQ,SUS,BSC10,ITMY,,,,2048
L1:SUS-ITMY_L2_MASTER_OUT_UR_DQ,SUS,BSC10,ITMY,,,,2048
L1:SUS-ITMY_L2_WIT_L_DQ,SUS,BSC10,ITMY,,LON,OSEM,256
L1:SUS-ITMY_L2_WIT_P_DQ,SUS,BSC10,ITMY,,PIT,OSEM,256
L1:SUS-ITMY_L2_WIT_Y_DQ,SUS,BSC10,ITMY,,YAW,OSEM,256
L1:SUS-ITMY_L3_LOCK_L_IN1_DQ,SUS,BSC10,ITMY,,LON,FEEDBACK,2048
L1:SUS-ITMY_L3_LOCK_P_IN1_DQ,SUS,BSC10,ITMY,,PIT,FEEDBACK,2048
L1:SUS-ITMY_L3_LOCK_Y_IN1_DQ,SUS,BSC10,ITMY,,YAW,FEEDBACK,2048
L1:SUS-ITMY_L3_MASTER_OUT_DC_DQ,SUS,BSC10,ITMY,,,,256
L1:SUS-ITMY_L3_MASTER_OUT_LL_DQ,SUS,BSC10,ITMY,,,,2048
L1:SUS-ITMY_L3_MASTER_OUT_LR_DQ,SUS,BSC10,ITMY,,,,2048
L1:SUS-ITMY_L3_MASTER_OUT_UL_DQ,SUS,BSC10,ITMY,,,,2048
L1:SUS-ITMY_L3_MASTER_OUT_UR_DQ,SUS,BSC10,ITMY,,,,2048
L1:SUS-ITMY_L3_OPLEV_PIT_OUT_DQ,SUS,BSC10,ITMY,,PIT,QPD,256
L1:SUS-ITMY_L3_OPLEV_YAW_OUT_DQ,SUS,BSC10,ITMY,,YAW,QPD,256
L1:SUS-ITMY_M0_DAMP_L_IN1_DQ,SUS,BSC10,ITMY,,LON,,256
L1:SUS-ITMY_M0_DAMP_P_IN1_DQ,SUS,BSC10,ITMY,,PIT,,256
L1:SUS-ITMY_M0_DAMP_R_IN1_DQ,SUS,BSC10,ITMY,,,,256
L1:SUS-ITMY_M0_DAMP_T_IN1_DQ,SUS,BSC10,ITMY,,,,256
L1:SUS-ITMY_M0_DAMP_V_IN1_DQ,SUS,BSC10,ITMY,,,,256
L1:SUS-ITMY_M0_DAMP_Y_IN1_DQ,SUS,BSC10,ITMY,,YAW,,256
L1:SUS-ITMY_M0_ISIINF_RX_OUT_DQ,SUS,BSC10,ITMY,,RX,,1024
L1:SUS-ITMY_M0_ISIINF_RY_OUT_DQ,SUS,BSC10,ITMY,,RY,,1024
L1:SUS-ITMY_M0_ISIINF_RZ_OUT_DQ,SUS,BSC10,ITMY,,RZ,,1024
L1:SUS-ITMY_M0_ISIINF_X_OUT_DQ,SUS,BSC10,ITMY,,X,,1024
L1:SUS-ITMY_M0_ISIINF_Y_OUT_DQ,SUS,BSC10,ITMY,,YAW,,1024
L1:SUS-ITMY_M0_ISIINF_Z_OUT_DQ,SUS,BSC10,ITMY,,Z,,1024
L1:SUS-ITMY_M0_ISIWIT_L_DQ,SUS,BSC10,ITMY,,LON,OSEM,1024
L1:SUS-ITMY_M0_ISIWIT_P_DQ,SUS,BSC10,ITMY,,PIT,OSEM,1024
L1:SUS-ITMY_M0_ISIWIT_R_DQ,SUS,BSC10,ITMY,,,OSEM,1024
L1:SUS-ITMY_M0_ISIWIT_T_DQ,SUS,BSC10,ITMY,,,OSEM,1024
L1:SUS-ITMY_M0_ISIWIT_V_DQ,SUS,BSC10,ITMY,,,OSEM,1024
L1:SUS-ITMY_M0_ISIWIT_Y_DQ,SUS,BSC10,ITMY,,YAW,OSEM,1024
L1:SUS-ITMY_M0_LOCK_L_IN1_DQ,SUS,BSC10,ITMY,,LON,FEEDBACK,512
L1:SUS-ITMY_M0_LOCK_P_IN1_DQ,SUS,BSC10,ITMY,,PIT,FEEDBACK,512
L1:SUS-ITMY_M0_LOCK_Y_IN1_DQ,SUS,BSC10,ITMY,,YAW,FEEDBACK,512
L1:SUS-ITMY_M0_MASTER_OUT_F1_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_M0_MASTER_OUT_F2_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_M0_MASTER_OUT_F3_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_M0_MASTER_OUT_LF_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_M0_MASTER_OUT_RT_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_M0_MASTER_OUT_SD_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_R0_DAMP_L_IN1_DQ,SUS,BSC10,ITMY,,LON,,256
L1:SUS-ITMY_R0_DAMP_P_IN1_DQ,SUS,BSC10,ITMY,,PIT,,256
L1:SUS-ITMY_R0_DAMP_R_IN1_DQ,SUS,BSC10,ITMY,,,,256
L1:SUS-ITMY_R0_DAMP_T_IN1_DQ,SUS,BSC10,ITMY,,,,256
L1:SUS-ITMY_R0_DAMP_V_IN1_DQ,SUS,BSC10,ITMY,,,,256
L1:SUS-ITMY_R0_DAMP_Y_IN1_DQ,SUS,BSC10,ITMY,,YAW,,256
L1:SUS-ITMY_R0_MASTER_OUT_F1_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_R0_MASTER_OUT_F2_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_R0_MASTER_OUT_F3_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_R0_MASTER_OUT_LF_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_R0_MASTER_OUT_RT_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-ITMY_R0_MASTER_OUT_SD_DQ,SUS,BSC10,ITMY,,,,512
L1:SUS-BS_M1_DAMP_L_IN1_DQ,SUS,BSC2,BS,,LON,,256
L1:SUS-BS_M1_DAMP_P_IN1_DQ,SUS,BSC2,BS,,PIT,,256
L1:SUS-BS_M1_DAMP_R_IN1_DQ,SUS,BSC2,BS,,,,256
L1:SUS-BS_M1_DAMP_T_IN1_DQ,SUS,BSC2,BS,,,,256
L1:SUS-BS_M1_DAMP_V_IN1_DQ,SUS,BSC2,BS,,,,256
L1:SUS-BS_M1_DAMP_Y_IN1_DQ,SUS,BSC2,BS,,YAW,,256
L1:SUS-BS_M1_ISIINF_RX_OUT_DQ,SUS,BSC2,BS,,RX,,1024
L1:SUS-BS_M1_ISIINF_RY_OUT_DQ,SUS,BSC2,BS,,RY,,1024
L1:SUS-BS_M1_ISIINF_RZ_OUT_DQ,SUS,BSC2,BS,,RZ,,1024
L1:SUS-BS_M1_ISIINF_X_OUT_DQ,SUS,BSC2,BS,,X,,1024
L1:SUS-BS_M1_ISIINF_Y_OUT_DQ,SUS,BSC2,BS,,YAW,,1024
L1:SUS-BS_M1_ISIINF_Z_OUT_DQ,SUS,BSC2,BS,,Z,,1024
L1:SUS-BS_M1_ISIWIT_L_DQ,SUS,BSC2,BS,,LON,OSEM,1024
L1:SUS-BS_M1_ISIWIT_P_DQ,SUS,BSC2,BS,,PIT,OSEM,1024
L1:SUS-BS_M1_ISIWIT_R_DQ,SUS,BSC2,BS,,,OSEM,1024
L1:SUS-BS_M1_ISIWIT_T_DQ,SUS,BSC2,BS,,,OSEM,1024
L1:SUS-BS_M1_ISIWIT_V_DQ,SUS,BSC2,BS,,,OSEM,1024
L1:SUS-BS_M1_ISIWIT_Y_DQ,SUS,BSC2,BS,,YAW,OSEM,1024
L1:SUS-BS_M1_LOCK_L_IN1_DQ,SUS,BSC2,BS,,LON,FEEDBACK,512
L1:SUS-BS_M1_LOCK_P_IN1_DQ,SUS,BSC2,BS,,PIT,FEEDBACK,512
L1:SUS-BS_M1_LOCK_Y_IN1_DQ,SUS,BSC2,BS,,YAW,FEEDBACK,512
L1:SUS-BS_M1_MASTER_OUT_F1_DQ,SUS,BSC2,BS,,,,512
L1:SUS-BS_M1_MASTER_OUT_F2_DQ,SUS,BSC2,BS,,,,512
L1:SUS-BS_M1_MASTER_OUT_F3_DQ,SUS,BSC2,BS,,,,512
L1:SUS-BS_M1_MASTER_OUT_LF_DQ,SUS,BSC2,BS,,,,512
L1:SUS-BS_M1_MASTER_OUT_RT_DQ,SUS,BSC2,BS,,,,512
L1:SUS-BS_M1_MASTER_OUT_SD_DQ,SUS,BSC2,BS,,,,512
L1:SUS-BS_M2_LOCK_L_IN1_DQ,SUS,BSC2,BS,,LON,FEEDBACK,1024
L1:SUS-BS_M2_LOCK_P_IN1_DQ,SUS,BSC2,BS,,PIT,FEEDBACK,1024
L1:SUS-BS_M2_LOCK_Y_IN1_DQ,SUS,BSC2,BS,,YAW,FEEDBACK,1024
L1:SUS-BS_M2_MASTER_OUT_LL_DQ,SUS,BSC2,BS,,,,1024
L1:SUS-BS_M2_MASTER_OUT_LR_DQ,SUS,BSC2,BS,,,,1024
L1:SUS-BS_M2_MASTER_OUT_UL_DQ,SUS,BSC2,BS,,,,1024
L1:SUS-BS_M2_MASTER_OUT_UR_DQ,SUS,BSC2,BS,,,,1024
L1:SUS-BS_M2_WIT_L_DQ,SUS,BSC2,BS,,LON,OSEM,256
L1:SUS-BS_M2_WIT_P_DQ,SUS,BSC2,BS,,PIT,OSEM,256
L1:SUS-BS_M2_WIT_Y_DQ,SUS,BSC2,BS,,YAW,OSEM,256
L1:SUS-BS_M3_LOCK_L_IN1_DQ,SUS,BSC2,BS,,LON,FEEDBACK,2048
L1:SUS-BS_M3_LOCK_P_IN1_DQ,SUS,BSC2,BS,,PIT,FEEDBACK,2048
L1:SUS-BS_M3_LOCK_Y_IN1_DQ,SUS,BSC2,BS,,YAW,FEEDBACK,2048
L1:SUS-BS_M3_OPLEV_PIT_OUT_DQ,SUS,BSC2,BS,,PIT,QPD,256
L1:SUS-BS_M3_OPLEV_SUM_OUT_DQ,SUS,BSC2,BS,,,,256
L1:SUS-BS_M3_OPLEV_YAW_OUT_DQ,SUS,BSC2,BS,,YAW,QPD,256
L1:SUS-MC1_M1_DAMP_L_IN1_DQ,SUS,HAM2,MC1,,LON,,256
L1:SUS-MC1_M1_DAMP_P_IN1_DQ,SUS,HAM2,MC1,,PIT,,256
L1:SUS-MC1_M1_DAMP_R_IN1_DQ,SUS,HAM2,MC1,,,,256
L1:SUS-MC1_M1_DAMP_T_IN1_DQ,SUS,HAM2,MC1,,,,256
L1:SUS-MC1_M1_DAMP_V_IN1_DQ,SUS,HAM2,MC1,,,,256
L1:SUS-MC1_M1_DAMP_Y_IN1_DQ,SUS,HAM2,MC1,,YAW,,256
L1:SUS-MC1_M1_ISIWIT_L_DQ,SUS,HAM2,MC1,,LON,OSEM,1024
L1:SUS-MC1_M1_ISIWIT_P_DQ,SUS,HAM2,MC1,,PIT,OSEM,1024
L1:SUS-MC1_M1_ISIWIT_R_DQ,SUS,HAM2,MC1,,,OSEM,1024
L1:SUS-MC1_M1_ISIWIT_T_DQ,SUS,HAM2,MC1,,,OSEM,1024
L1:SUS-MC1_M1_ISIWIT_V_DQ,SUS,HAM2,MC1,,,OSEM,1024
L1:SUS-MC1_M1_ISIWIT_Y_DQ,SUS,HAM2,MC1,,YAW,OSEM,1024
L1:SUS-MC1_M1_LOCK_L_IN1_DQ,SUS,HAM2,MC1,,LON,FEEDBACK,512
L1:SUS-MC1_M1_LOCK_P_IN1_DQ,SUS,HAM2,MC1,,PIT,FEEDBACK,512
L1:SUS-MC1_M1_LOCK_Y_IN1_DQ,SUS,HAM2,MC1,,YAW,FEEDBACK,512
L1:SUS-MC1_M1_MASTER_OUT_LF_DQ,SUS,HAM2,MC1,,,,512
L1:SUS-MC1_M1_MASTER_OUT_RT_DQ,SUS,HAM2,MC1,,,,512
L1:SUS-MC1_M1_MASTER_OUT_SD_DQ,SUS,HAM2,MC1,,,,512
L1:SUS-MC1_M1_MASTER_OUT_T1_DQ,SUS,HAM2,MC1,,,,512
L1:SUS-MC1_M1_MASTER_OUT_T2_DQ,SUS,HAM2,MC1,,,,512
L1:SUS-MC1_M1_MASTER_OUT_T3_DQ,SUS,HAM2,MC1,,,,512
